link,username,tweet
https://twitter.com/anyuser/status/899385162227732481,aboalmout,"490 ميغا بايت مساحة فيسبوك هالجهاز 😓
شو رأيك تاخد شوي من أرض الضيعة كمان"
https://twitter.com/anyuser/status/895700976312647680,aboalmout,"سعد المجرد طلع من السجن وعمل أغنية من مبارح لليوم تسعة مليون مشاهدة 😭
مين فراس الخطيب 😷😷 https://t.co/WxcBSxtwQG"
https://twitter.com/anyuser/status/892331469502390272,aboalmout,"(شوعلت نار بالسما شغلي متل الكذب)😃 يلعن شرفكن زناديق 
طلعلي بالذكريات تتذكر ماتنعاد 
الانفجار الهيروشيمي الحمصي https://t.co/8mCoffJ61U"
https://twitter.com/anyuser/status/891732062876643328,aboalmout,"بوست شهر 7 s
كفى تظهر لي في كل صفحة أعرفها 😥"
https://twitter.com/anyuser/status/891353695476174849,aboalmout,ياروحي انتو إلهي مايحرمني منكن https://t.co/eggkjVCnhy
https://twitter.com/anyuser/status/888032996179283970,aboalmout,يرجى الحذر https://t.co/JJdFbuDl8l
https://twitter.com/anyuser/status/881243220394618880,aboalmout,"طلب صغير
بس نسمة هوا يارب"
https://twitter.com/anyuser/status/880349345505325056,aboalmout,تحياتي لكل حدا واعي مبارح حاول يشغل مخو وحاول يعرف شو صاير مشان يطمن العالم في شباب وصبايا دارسين صحافة وأعلام... https://t.co/OCKK5kuV5G
https://twitter.com/anyuser/status/880191262694952960,aboalmout,"صاروخ
لأ طيارة
يمكن عبوة 
تيفور
ولا تلبيسة 
قنيطرة
كرمال القرود خرسوا شوي
بس هالمرة"
https://twitter.com/anyuser/status/880129933862981636,aboalmout,"فقدان 300 ميغا واط كهربا 
اللي بيلاقيهن يرجعن
بلا غلاظة 🐼"
https://twitter.com/anyuser/status/879815028848852992,aboalmout,"هلق يعني اذا عسكري عم يغسل كلسونو بصابونة عسكرية وطلع رغوة صار اسمو تحضير كيماوي
ولك طرمب المجنون"
https://twitter.com/anyuser/status/875009552420392960,aboalmout,"هيك بدنا نزعل من بعض 
تركو العالم تفرح بضناها ولو
هدول زينة الحياة."
https://twitter.com/anyuser/status/874730149866082305,aboalmout,بكرة رح تضلي لابسة الأزرق سنة كمان اذا مانجحتي 😂 فهمتي يا جرة الغاز خليكي عالواتس
https://twitter.com/anyuser/status/871752704753905664,aboalmout,"الخليج كان لوحة فس فسائية
راحت فسفوسة 
#قطر"
https://twitter.com/anyuser/status/870770010725249024,aboalmout,"ضع في مسدسك 🔫 عشر رصاصات. 
أي وبس لاتعمل شي 👻👻"
https://twitter.com/anyuser/status/870008501791318018,aboalmout,"💜 الرحمة للشهداء 💜
الشفاء للجرحى https://t.co/qtE02VXgSy"
https://twitter.com/anyuser/status/870007280753934336,aboalmout,"البنت المخطوبة بس تاكل تشيبس
صوت القرقشه بيطلع هيك:
خطتش خطتش خطتشيبي 
ملطوشة للضرورة"
https://twitter.com/anyuser/status/869140909434314752,aboalmout,#تيم_حسن 😍😍😍😍😍😍😍😍
https://twitter.com/anyuser/status/866870698731556865,aboalmout,"تفجيرات جبلة وطرطوس من ابشع أيام الحرب ينذكر وماينعاد يارب. 
لروحك السلام عمتي الغالية ولارواح جميع الشهداء💜 https://t.co/ivAode7s8m"
https://twitter.com/anyuser/status/866376261328941061,aboalmout,عطوني فواشات أنا بصلحو 😅
https://twitter.com/anyuser/status/866033752039936000,aboalmout,الكبل منيح بس الحوت عرصا
https://twitter.com/anyuser/status/865338339657961472,aboalmout,"بتعرف ريد بول شو بتعطيك يا سعادة المحافظ 😂😂
سلملي ع وضحة
مفكر حالك باليابان مهيكي"
https://twitter.com/anyuser/status/863502819583819776,aboalmout,"أدى الأمانة و رحل 
بأمان الله 
لروحك السلام 
الصبر لاحبابك
الصبر والنصر لجنودك. https://t.co/6iSnqxOK4Q"
https://twitter.com/anyuser/status/862959251433689089,aboalmout,"روحة ال💩💩💩
 بالنهر
#قتلة_برزة
من الأول بدكن إدليب"
https://twitter.com/anyuser/status/860598741644062722,aboalmout,"باقي سبع دقايق و بيبدأ نظام المناطق منخفضة التوتر 😌
ريلاكس 😂"
https://twitter.com/anyuser/status/858976434144063488,aboalmout,"مافي قضاء ولافي دولة بلبنان باعتراف اللبنانيين 
طيب في زلم ياخدو حق هالصبي؟؟؟؟ https://t.co/g3F0MOUIWf"
https://twitter.com/anyuser/status/858187158858993666,aboalmout,"صباحووو 
قريبآ في الإعلانات المصرية:
مش عارف تصوم شهر رمضان؟؟😳

الصوم متعبك ومخليك تموت من الجوع؟؟

عطشان وجسمك... https://t.co/D2poBE51ZD"
https://twitter.com/anyuser/status/858066382335987714,aboalmout,حماة الديار https://t.co/zsd5dCy6aX
https://twitter.com/anyuser/status/857268785363005440,aboalmout,شاركو لوسمحتوا أخواتي https://t.co/zWh3E9D3Ov
https://twitter.com/anyuser/status/857182985925341186,aboalmout,"وعدونا انو الموسم الجاي برتقان الساحل بخمسمية من ارضو 😌
أضغاث أحلام
بندورة درعاوية 600 ورقة
 نايمة الفتنة 
الموز بألف وبيرخصلك يامسؤول"
https://twitter.com/anyuser/status/856994467529797636,aboalmout,"#حماية_المستهلك
😂😂😂😂🍠 😂😂😂😂😂😂😂🍅 🍅 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🍆 😂😂😂😂😂😂"
